headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
jog,verb,B1,,,
jogging,noun,B1,Leisure activities,,"Free time, entertainment"
join,verb,A1,,,
joint,adjective,B1,,,
joint,noun,B2,,,
joke,noun,A2,,,
joke,verb,B1,,,
journal,noun,B1,Objects and rooms,,"Free time, entertainment"
journalism,noun,B2,,,
journalist,noun,B1,Work and Jobs,,Personal identification
journey,noun,A2,Travel and services vocab,,Travel
joy,noun,A2,,,
judge,noun,B1,Work and Jobs,"News, lifestyles and current affairs",Personal identification
judge,verb,A1,,,
judgment/judgement,noun,B1,"News, lifestyles and current affairs",,
judo,noun,B2,Leisure activities,,"Free time, entertainment"
jug,noun,B1,Objects and rooms,,Shopping
juice,noun,A1,Food and drink,,Food and drink
juicy,adjective,B1,,,
July,noun,A1,,,
jump,noun,B2,Leisure activities,,"Free time, entertainment"
jump,verb,A1,,,
jumper,noun,B1,,,Personal identification
June,noun,A1,,,
jungle,noun,B1,,,
junior,adjective,A2,,,
junk,noun,A2,Objects and rooms,,
junk food,noun,B2,,,Food and drink
juror,noun,B2,,,
jury,noun,B2,,,Personal identification
just,adverb,A1,,,
justice,noun,B1,,,
justify,verb,B2,,,
kangaroo,noun,B2,,,
karaoke,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
keen,adjective,B2,,,
keep,verb,A1,,,
keeper,noun,B2,Work and Jobs,,Personal identification
kerosene,noun,B2,,,
kettle,noun,B1,Objects and rooms,,Shopping
key,adjective,A1,,,
key,noun,A1,Objects and rooms,,"House and home, environment"
keyboard,noun,B1,Objects and rooms,,
keystroke,noun,B2,,,
kick,noun,A1,,,
kick,verb,A1,,,
kid,noun,A1,Family life,,Personal identification
kid,verb,B1,,,
kill,verb,A1,,,
killer,noun,A2,"News, lifestyles and current affairs",,Relations with other people
killing,noun,B1,"News, lifestyles and current affairs",,Relations with other people
kilo,noun,A2,,,
kilogram/kilogramme,noun,A2,,,
kilometer/kilometre,noun,A2,,,
kind,adjective,A2,,,
kind,noun,A1,,,
kindly,adjective,A2,,,
kindly,adverb,B1,,,
kindness,noun,B1,,,
king,noun,A1,Nationalities and countries,,Relations with other people
kingdom,noun,A2,Nationalities and countries,,Places
kiss,noun,A1,,,
kiss,verb,B1,,,
kit,noun,A2,,,
kitchen,noun,A1,Objects and rooms,,"House and home, environment"
kite,noun,A1,Leisure activities,,"Free time, entertainment"
kitten,noun,B1,,,
knee,noun,A1,,,Health and body care
kneel,verb,B2,,,
knife,noun,A1,Objects and rooms,,Shopping
knit,verb,B1,,,
knock,noun,A2,,,
knock,verb,B1,,,
knot,noun,B2,,,
know,verb,A1,,,
knowingly,adverb,B2,,,
knowledge,noun,A2,Education,,Education
known,adjective,B2,,,
lab,noun,B1,Objects and rooms,,"House and home, environment"
label,noun,B2,Objects and rooms,,
labor/labour,noun,A2,Work and Jobs,,Personal identification
laboratory,noun,B1,Objects and rooms,,"House and home, environment"
laborer/labourer,noun,B2,Work and Jobs,,Personal identification
lack,noun,A2,,,
lack,verb,B2,,,
ladder,noun,B1,,,
lady,noun,A1,Personal information,,Personal identification
lake,noun,A2,,,"House and home, environment"
lamb,noun,B1,,,
lame,adjective,B2,,,
lamp,noun,A2,,,"House and home, environment"
lance,noun,B2,,,
land,noun,B1,Nationalities and countries,,"House and home, environment"
land,verb,A2,,,
landing,noun,B2,,,
landlady,noun,B2,,,Personal identification
landlord,noun,B1,Work and Jobs,,
landscape,noun,A2,,,
landslide,noun,B2,,,
lane,noun,A2,"Things in the town, shops and shopping",,Travel
language,noun,A1,Nationalities and countries,,Language
lap,noun,B2,,,Health and body care
laptop,noun,B2,Objects and rooms,,Shopping
large,adjective,A1,,,
largely,adverb,B1,,,
lark,noun,B2,,,
laser,noun,B2,,,
last,adverb,B1,,,
last,determiner,A2,,,
last,pronoun,A2,,,
last,verb,B1,,,
last minute,noun,B2,,,
last name,noun,A1,,,
lasting,adjective,B1,,,
lastly,adverb,B2,,,
last-minute,adjective,B2,,,
late,adjective,A1,,,
late,adverb,A1,,,
latecomer,noun,B1,,,
lately,adverb,B1,,,
later,adjective,B2,,,
later,adverb,A1,,,
latest,adjective,A2,,,
latter,adjective,B2,,,
latter,adverb,A2,,,
latter,pronoun,A2,,,
laugh,noun,B1,,,
laugh,verb,A1,,,
laughter,noun,B1,,,
launch,verb,B1,,,
laundry,noun,B2,,,
lava,noun,B2,Education,,
law,noun,A2,"News, lifestyles and current affairs",,Relations with other people
lawful,adjective,B1,,,
lawmaker,noun,B2,Work and Jobs,,Personal identification
lawn,noun,B2,,,
lawsuit,noun,B2,,,
lawyer,noun,A2,Work and Jobs,,Personal identification
lay,verb,B1,,,
layabout,noun,B2,,,
layer,noun,B1,,,
laziness,noun,A2,,,
lazy,adjective,A1,,,
lead,adjective,B1,,,
lead,noun,A2,,,
lead,verb,B1,,,
leader,noun,A1,Work and Jobs,,Relations with other people
leadership,noun,B1,,,
leading,adjective,B1,,,
leaf,noun,A1,"Things in the town, shops and shopping",,
leaflet,noun,B2,,,
league,noun,B1,"News, lifestyles and current affairs",,"Free time, entertainment"
leak,noun,B2,,,
leak,verb,B2,,,
lean,adjective,B1,,,
lean,verb,B2,,,
leap,noun,B2,,,
leap,verb,B1,,,
learn,verb,A1,,,
learner,noun,A2,Education,,Education
learning,noun,B2,,,Education
lease,noun,B2,Travel and services vocab,,Services
leash,noun,B2,,,
least,adverb,B1,,,
least,determiner,A2,,,
least,pronoun,B2,,,
leather,noun,A2,,,
leave,noun,B1,,,
leave,verb,A1,,,
lecture,noun,B1,Education,,Education
lecturer,noun,B2,Education,Work and Jobs,Personal identification
leek,noun,B2,,,Food and drink
left,adjective,A1,,,
left,adverb,A2,,,
left,noun,A2,,,
left-hand,adjective,A2,,,
leg,noun,A1,,,Health and body care
legal,adjective,B1,,,
legally,adverb,B1,,,
legend,noun,B2,Books and literature,,
legendary,adjective,B2,,,
legislate,verb,B2,,,
legislation,noun,B2,"News, lifestyles and current affairs",,
legislative,adjective,B2,,,
legislator,noun,B2,Work and Jobs,"News, lifestyles and current affairs",Personal identification
legislature,noun,B2,,,
legitimate,adjective,B2,,,
leisure,noun,A2,Leisure activities,,"Free time, entertainment"
leisurely,adverb,B2,,,
lemon,noun,A2,,,Food and drink
lemonade,noun,A2,,,Food and drink
lend,verb,A2,,,
length,noun,B1,,,
lengthen,verb,B2,,,
lengthy,adjective,B2,,,
leopard,noun,B2,,,
less,adverb,A2,,,
less,determiner,A2,,,
less,pronoun,A2,,,
lessen,verb,B1,,,
lesson,noun,A1,Education,,Education
lest,conjunction,B2,,,
let,verb,A1,,,
letter,noun,A1,Objects and rooms,,Services
lettuce,noun,B1,Food and drink,,Food and drink
level,adjective,B1,,,
level,noun,A2,,,
level,verb,B2,,,
liar,noun,B1,,,Personal identification
liberal,adjective,B2,,,
liberate,verb,B1,,,
liberation,noun,B1,"News, lifestyles and current affairs",,
liberty,noun,A2,,,
librarian,noun,B1,Work and Jobs,,Personal identification
library,noun,A1,"Things in the town, shops and shopping",,"Free time, entertainment"
license/licence,verb,A2,,,
lick,verb,B2,,,
lid,noun,B2,Objects and rooms,,Shopping
lie,noun,B1,,,
lie,verb,A2,,,
life,noun,A1,,,
lifeguard,noun,B1,Work and Jobs,,Personal identification
lifeless,adjective,B2,,,
lifelong,adjective,B1,,,
lifestyle,noun,A2,Personal information,,
lifetime,noun,B2,,,
lift,noun,B1,"Things in the town, shops and shopping",,Travel
lift,verb,B1,,,
light,adjective,A1,,,
light,noun,A1,,,"House and home, environment"
light,verb,B1,,,
lighten,verb,B2,,,
lighter,noun,B1,Objects and rooms,,Shopping
lighting,noun,B2,,,
lightly,adverb,B1,,,
lightning,noun,B1,,,
like,conjunction,B1,,,
like,preposition,A1,,,
like,verb,A1,,,
likely,adjective,A2,,,
likeness,noun,B1,,,
likewise,adverb,B2,,,
lily,noun,A1,,,
limb,noun,B2,,,
limit,noun,B1,,,
limit,verb,B1,,,
limitation,noun,B1,,,
limited,adjective,B1,,,
limp,verb,B1,,,
line,noun,A1,,,
line,verb,B2,,,
linen,noun,B2,Clothes,,Shopping
liner,noun,B2,Ways of travelling,,Travel
ling,noun,B2,,,
linger,verb,B2,,,
link,noun,B1,,,
link,verb,B1,,,
lion,noun,A1,,,
lip,noun,A2,,,Health and body care
liquid,adjective,B1,,,
liquid,noun,B1,,,
list,noun,A1,Objects and rooms,,
list,verb,B2,,,
listen,verb,A1,,,
listener,noun,B2,Media,,Personal identification
liter/litre,noun,A2,,,
literal,adjective,B2,,,
literally,adverb,B2,,,
literary,adjective,B1,,,
literature,noun,B1,Books and literature,,"Free time, entertainment"
litter,noun,B2,,,
little,adjective,A1,,,
little,adverb,A1,,,
little,determiner,B1,,,
little,pronoun,B1,,,
live,adjective,B1,,,
live,verb,A1,,,
lively,adjective,A2,,,
liver,noun,B1,,,
living,adjective,A1,,,
living,noun,B2,,,
living room,noun,A1,Objects and rooms,,"House and home, environment"
load,noun,A2,,,
load,verb,B2,,,
loaf,noun,B1,,,
loan,noun,B2,Travel and services vocab,,Services
lobby,noun,B2,,,"House and home, environment"
local,adjective,A2,,,
locate,verb,B1,,,
location,noun,B1,,,
lock,noun,A2,Objects and rooms,,"House and home, environment"
lock,verb,B1,,,
lodge,noun,B1,"Things in the town, shops and shopping",,"House and home, environment"
log,noun,B1,,,
logic,noun,B1,Education,,Education
logical,adjective,A2,,,
logo,noun,B1,,,
loneliness,noun,B2,,,
lonely,adjective,A1,,,
long,adjective,A1,,,
long,adverb,A2,,,
long-distance,adjective,B2,,,
long-term,adjective,B2,,,
look,noun,A1,,,
look,verb,A1,,,
loose,adjective,A2,,,
loosely,adverb,B2,,,
lorry,noun,B1,,,
lose,verb,A2,,,
loss,noun,B1,,,
lost,adjective,A2,,,
lot,adverb,A1,,,
lot,noun,A2,,,
lot,pronoun,A1,,,
lottery,noun,B1,,,
loud,adjective,B1,,,
loud,adverb,B1,,,
loudly,adverb,A2,,,
loudspeaker,noun,B1,Objects and rooms,,Personal identification
lousy,adjective,B2,,,
love,noun,A1,,,
love,verb,A1,,,
lovely,adjective,A1,,,
lover,noun,A2,Family life,,Personal identification
lovingly,adverb,B1,,,
low,adjective,A2,,,
low,adverb,A2,,,
lower,verb,B2,,,
lowland,noun,B2,,,
loyal,adjective,B1,,,
loyalty,noun,B1,,,
luck,noun,A1,,,
luckily,adverb,A2,,,
lucky,adjective,A1,,,
lucrative,adjective,B2,,,
luggage,noun,B1,Travel and services vocab,,Travel
lunch,noun,A1,Food and drink,,Food and drink
lunchtime,noun,A2,,,Food and drink
lung,noun,B1,,,Health and body care
lush,adjective,B2,,,
luxurious,adjective,B2,,,
luxury,adjective,B2,,,
luxury,noun,B1,,,
lyric,adjective,A2,,,
lyrics,noun,B2,,,
'm,be-verb,A1,,,
machine,noun,A1,Work and Jobs,,Daily life
mad,adjective,A2,,,
madam,noun,B2,,,Personal identification
madame,noun,B2,,,
madness,noun,B2,,,
maestro,noun,B2,Arts,,Personal identification
magazine,noun,A1,Objects and rooms,,"Free time, entertainment"
magic,adjective,A2,,,
magic,noun,A2,,,
magical,adjective,B1,,,
magician,noun,B1,Work and Jobs,,Personal identification
magnificent,adjective,B1,,,
magnify,verb,B2,,,
mail,noun,A1,Objects and rooms,,Services
mail,verb,B1,,,
mailbox,noun,B1,Objects and rooms,,Services
main,adjective,B1,,,
main course,noun,A2,,,
mainly,adverb,A2,,,
maintain,verb,B1,,,
maintenance,noun,B1,,,
major,adjective,A2,,,
major,noun,B2,,,
majority,noun,B1,,,
make,noun,B2,,,
make,verb,A1,,,
maker,noun,A2,Work and Jobs,,Personal identification
make-up,noun,A2,,,
malady,noun,B2,,,
malaria,noun,B2,Travel and services vocab,,Health and body care
male,adjective,B1,,,
male,noun,A2,Personal information,,Personal identification
mall,noun,A2,"Things in the town, shops and shopping",,Shopping
mama/mamma,noun,B2,Family life,,Personal identification
man,noun,A1,Personal information,,Personal identification
manage,verb,A2,,,
management,noun,B1,Work and Jobs,,Services
manager,noun,A2,Work and Jobs,,Personal identification
mango,noun,B2,Food and drink,,Food and drink
manipulate,verb,B2,,,
mankind,noun,B1,,,Personal identification
manner,noun,A2,,,
mansion,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
manual,adjective,B2,,,
manual,noun,B2,Objects and rooms,,
manufacture,noun,B2,Work and Jobs,,
manufacture,verb,B2,,,
manufacturer,noun,B2,Work and Jobs,,Personal identification
manufacturing,noun,B2,,,
many,determiner,A1,,,
many,pronoun,A1,,,
map,noun,A1,Objects and rooms,,Travel
maple,noun,B1,,,
marathon,noun,B2,,,
marble,noun,B1,,,
March,noun,A1,,,
march,noun,B1,,,
march,verb,B1,,,
margin,noun,B2,,,
marine,adjective,B1,,,
mark,noun,A2,,,
mark,verb,A2,,,
marked,adjective,B1,,,
market,noun,A2,,,Shopping
market,verb,B1,,,
marketing,noun,B2,,,
marriage,noun,B1,Family life,,Relations with other people
married,adjective,A2,,,
marry,verb,A2,,,
martial art,noun,B2,,,
marvelous/marvellous,adjective,A2,,,
mash,verb,B1,,,
mask,noun,B2,,,Shopping
mass,adjective,B1,,,
mass,noun,B2,,,
massacre,noun,B2,"News, lifestyles and current affairs",,Relations with other people
massage,noun,B2,,,
masseur,noun,B2,Work and Jobs,,Personal identification
massive,adjective,B1,,,
master,noun,B2,,,Personal identification
masterpiece,noun,B2,Arts,,
mastery,noun,B2,,,
match,noun,A1,Hobbies and pastimes,,Shopping
match,verb,B1,,,
mate,noun,B2,Personal information,,Relations with other people
material,noun,A2,,,
math/maths,noun,A1,Education,,Education
mathematical,adjective,B2,,,
mathematician,noun,B1,Education,Work and Jobs,Personal identification
mathematics,noun,B1,Education,,Education
matter,noun,A1,,,
matter,verb,A2,,,
mature,adjective,B2,,,
mausoleum,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
max,noun,A2,,,
maximum,adjective,B1,,,
maximum,noun,B1,,,
may,modal auxiliary,A1,,,
May,noun,A1,,,
maybe,adverb,A1,,,
mayor,noun,B1,Work and Jobs,,Personal identification
me,pronoun,A1,,,
meal,noun,A1,Food and drink,,Food and drink
mean,adjective,A2,,,
mean,noun,B2,,,
mean,verb,A1,,,
meaning,noun,A2,,,
meaningful,adjective,B1,,,
means,noun,B2,,,
meanwhile,adverb,B1,,,
measure,noun,B1,,,
measure,verb,B1,,,
measurement,noun,B1,,,
meat,noun,A1,Food and drink,,Food and drink
mechanic,noun,B1,Work and Jobs,,Personal identification
mechanical,adjective,B1,,,
mechanize/mechanise,verb,B2,,,
medal,noun,A2,,,
media,noun,B2,,,
medical,adjective,A2,,,
medication,noun,B2,,,
medicine,noun,A1,Travel and services vocab,,Health and body care
medieval/mediaeval,adjective,B2,,,
mediocre,adjective,B2,,,
meditate,verb,B1,,,
meditation,noun,B1,,,
Mediterranean,noun,B1,,,
medium,adjective,B1,,,
medium,noun,B1,Media,,"Free time, entertainment"
meet,verb,A1,,,
meeting,noun,A1,,,Relations with other people
melody,noun,B2,Arts,,"Free time, entertainment"
melon,noun,A2,,,Food and drink
melt,verb,B1,,,
member,noun,A2,,,Relations with other people
membership,noun,B1,,,Relations with other people
memorable,adjective,B1,,,
memorial,noun,B2,,,
memorize/memorise,verb,B1,,,
memory,noun,A1,,,
mend,verb,B1,,,
mental,adjective,B1,,,
mentally,adverb,B1,,,
mention,noun,A2,,,
mention,verb,B1,,,
mentor,noun,B2,,,
menu,noun,A2,Food and drink,,Food and drink
merchandise,noun,B2,Shopping,,Shopping
merchant,noun,B1,Work and Jobs,,Education
mercy,noun,B2,,,
mere,adjective,B1,,,
merely,adverb,B1,,,
merge,verb,B2,,,
merger,noun,B2,,,
merry,adjective,A1,,,
mess,noun,B1,,,
mess,verb,B2,,,
message,noun,A1,Media,,Services
message board,noun,B1,,,
messenger,noun,B2,Work and Jobs,,Personal identification
messy,adjective,B1,,,
metal,noun,A2,,,
metaphor,noun,B2,Education,,
meter/metre,noun,A2,,,
method,noun,A2,,,
metric,adjective,B2,,,
micro,noun,B2,Clothes,,
microbe,noun,B2,,,
microcomputer,noun,B2,Objects and rooms,,Shopping
micrometer/micrometre,noun,B2,,,
microorganism,noun,B2,,,
microphone,noun,B2,,,
microscope,noun,B2,Education,,
microscopic,adjective,B2,,,
microscopy,noun,B2,,,
microwave,noun,B2,,,
midday,noun,A2,,,
middle,adjective,A1,,,
middle,noun,A2,,,
middle-aged,adjective,B1,,,
midnight,noun,A2,,,
midst,noun,B2,,,
might,modal auxiliary,A2,,,
mighty,adjective,B2,,,
migration,noun,B2,,,
mild,adjective,B1,,,
mile,noun,B1,,,
military,adjective,A2,,,
milk,noun,A1,Food and drink,,Food and drink
mill,noun,B2,,,
millimeter/millimetre,noun,B2,,,
million,number,A2,,,
millionaire,noun,B2,"News, lifestyles and current affairs",,
mimic,noun,B2,,,
mind,noun,A1,,,
mind,verb,A2,,,
mine,noun,B2,"News, lifestyles and current affairs",,
mine,pronoun,A1,,,
mineral,noun,B1,,,
mineral water,noun,A2,,,Food and drink
miniature,adjective,B2,,,
minimize/minimise,verb,B1,,,
minimum,adjective,B1,,,
minimum,noun,B1,,,
minister,noun,B2,"News, lifestyles and current affairs",Work and Jobs,
minor,adjective,B1,,,
minority,noun,B1,,,
mint,noun,B2,,,Food and drink
minus,preposition,B1,,,
minute,noun,A1,,,
miracle,noun,B1,,,
mirror,noun,A2,,,Shopping
mischief,noun,B1,,,
misconception,noun,B2,,,
miserable,adjective,B1,,,
misery,noun,B1,,,
misfortune,noun,B2,,,
mislead,verb,B1,,,
misleading,adjective,B2,,,
Miss,noun,A1,,,Personal identification
miss,verb,A1,,,
missile,noun,B2,"News, lifestyles and current affairs",,
missing,adjective,A2,,,
mission,noun,B1,,,
mist,noun,B2,,,Weather
mistake,noun,A2,,,
mistreat,verb,B2,,,
mistrustful,adjective,B2,,,
misty,adjective,B1,,,
misunderstand,verb,B2,,,
misunderstanding,noun,B1,,,Relations with other people
mix,noun,B2,,,
mix,verb,A2,,,
mixing bowl,noun,B1,,,
mixture,noun,B2,,,
mobile,adjective,A2,,,
mobile,noun,A1,Objects and rooms,,"House and home, environment"
mobile phone,noun,A1,Objects and rooms,,"House and home, environment"
mobility,noun,B2,,,
mock,adjective,B2,,,
modal verb/modal,noun,B1,,,
model,adjective,B1,,,
model,noun,A2,,,
model,verb,B1,,,
modem,noun,B1,Media,Technical and legal language,
moderate,adjective,B1,,,
modern,adjective,A2,,,
modernization/modernisation,noun,B2,,,
modernize/modernise,verb,B2,,,
modest,adjective,B2,,,
modification,noun,B2,,,
modify,verb,B1,,,
mogul,noun,B2,,,
moisture,noun,B1,,,
mold/mould,noun,B2,,,
molecule,noun,B1,Education,,
mom,noun,A1,Family life,,Personal identification
moment,noun,A1,,,
momentarily,adverb,B2,,,
momentary,adjective,B2,,,
mommy/mommie,noun,A1,,,
monastery,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
Monday,noun,A1,,,
money,noun,A1,Shopping,,Shopping
monitor,noun,B1,,,
monitor,verb,B1,,,
monk,noun,B1,Work and Jobs,,Personal identification
monkey,noun,A1,,,
monster,noun,B1,,,
month,noun,A1,,,
monthly,adjective,B1,,,
monthly,adverb,B1,,,
monument,noun,B1,"Things in the town, shops and shopping",,
mood,noun,A2,,,
moody,adjective,B2,,,
moon,noun,A1,,,
moonlight,noun,B2,,,
moonscape,noun,B2,,,
moral,adjective,B2,,,
moral,noun,B1,Education,,
morality,noun,B2,,,
morally,adverb,B2,,,
more,adverb,B1,,,
more,determiner,A1,,,
more,pronoun,A1,,,
moreover,adverb,B1,,,
morning,noun,A1,,,
mortal,adjective,B2,,,
mortar,noun,B2,,,
mortgage,noun,B2,,,
mortify,verb,B2,,,
mosque,noun,A2,,,"House and home, environment"
mosquito,noun,B1,,,
moss,noun,B1,,,
most,adverb,A2,,,
most,determiner,A1,,,
most,pronoun,A2,,,
mostly,adverb,A2,,,
mother,noun,A1,Family life,,Personal identification
mother-in-law,noun,B2,,,Personal identification
motherland,noun,B1,Nationalities and countries,,Personal identification
motion,noun,B2,,,
motionless,adjective,B1,,,
motivate,verb,B1,,,
motivated,adjective,B2,,,
motivation,noun,B1,,,
motive,noun,B1,,,
motor,noun,B1,Ways of travelling,,Travel
motorbike,noun,B2,Ways of travelling,,Travel
motorcycle,noun,B1,Ways of travelling,,Travel
motorist,noun,B2,,,Personal identification
motorway,noun,A2,,,Travel
motto,noun,B1,,,
mount,noun,B1,,,
mount,verb,B2,,,
mountain,noun,A1,Nationalities and countries,,"House and home, environment"
mountaintop,noun,B1,,,
mourn,verb,B1,,,
mournful,adjective,B2,,,
mouse,noun,A1,,,
mouth,noun,A1,,,Health and body care
move,noun,A1,,,
move,verb,A2,,,
movement,noun,B1,,,
mover,noun,B2,,,
movie,noun,A1,Film,Hobbies and pastimes,"Free time, entertainment"
moving,adjective,B2,,,
MP3 player,noun,A2,,,"Free time, entertainment"
Mr./Mr,noun,A1,,,Personal identification
Mrs./Mrs,noun,A1,,,Personal identification
Ms./Ms,noun,A2,,,Personal identification
much,adverb,A1,,,
much,determiner,A1,,,
much,pronoun,A1,,,
mud,noun,B1,,,
muddy,adjective,B2,,,
mug,noun,A2,,,Shopping
mule,noun,B1,,,
multiple,adjective,B2,,,
multiply,verb,B2,,,
mum,noun,A1,Family life,,Personal identification
mumble,noun,B2,,,
mumble,verb,B2,,,
murder,noun,A2,"News, lifestyles and current affairs",,Relations with other people
murder,verb,B1,,,
murderer,noun,B1,"News, lifestyles and current affairs",,Relations with other people
murmur,noun,B2,,,
muscle,noun,B1,,,Health and body care
muse,verb,B2,,,
museum,noun,A2,"Things in the town, shops and shopping",,Places
mushroom,noun,A2,,,Food and drink
music,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
musical,adjective,A2,,,
musical,noun,B2,,,
musician,noun,A1,Work and Jobs,,Personal identification
must,modal auxiliary,A1,,,
mustache/moustache,noun,B2,,,
mustard,noun,B1,,,
mutability,noun,B2,,,
mutable,adjective,B2,,,
mutter,noun,B2,,,
mutter,verb,B2,,,
mutton,noun,B2,Food and drink,,Food and drink
mutual,adjective,B1,,,
my,determiner,A1,,,
myself,pronoun,A2,,,
mysterious,adjective,A2,,,
mystery,noun,A2,,,
mystify,verb,B2,,,
myth,noun,B1,Books and literature,,"Free time, entertainment"
nail,noun,B1,,,Health and body care
naked,adjective,B1,,,
name,noun,A1,Personal information,,Personal identification
name,verb,B1,,,
nano,noun,B2,,,
nap,noun,B1,,,
napkin,noun,A2,,,
narcissistic,adjective,B2,,,
narrate,verb,B1,,,
narrative,adjective,B1,,,
narrator,noun,B2,Work and Jobs,Media,Personal identification
narrow,adjective,B1,,,
narrowly,adverb,B2,,,
nasty,adjective,B1,,,
nation,noun,A2,Nationalities and countries,,Places
national,adjective,A2,,,
nationalist,noun,B1,,,
nationality,noun,A1,Nationalities and countries,,Personal identification
nationwide,adjective,B2,,,
nationwide,adverb,B2,,,
native,adjective,A2,,,
native speaker,noun,B2,,,Personal identification
natural,adjective,A2,,,
naturally,adverb,B1,,,
nature,noun,A2,Nationalities and countries,,"House and home, environment"
naughty,adjective,B2,,,
naval,adjective,B2,,,
navigate,verb,B2,,,
navigation,noun,B2,,,
navy,noun,B2,"News, lifestyles and current affairs",,Personal identification
navy blue,adjective,B1,,,
near,adjective,B1,,,
near,adverb,B1,,,
near,preposition,A1,,,
nearby,adjective,B1,,,
nearby,adverb,B1,,,
nearly,adverb,A2,,,
neat,adjective,B2,,,
necessarily,adverb,B2,,,
necessary,adjective,A2,,,
necessity,noun,B2,,,
neck,noun,A1,,,Health and body care
necklace,noun,B1,Clothes,,Shopping
nectar,noun,B1,,,
need,modal auxiliary,A1,,,
need,noun,B2,,,
need,verb,A2,,,
needle,noun,B1,Objects and rooms,,Shopping
needless,adjective,B2,,,
needy,adjective,B2,,,
negative,adjective,A2,,,
negatively,adverb,B2,,,
neglect,noun,B2,,,
negotiate,verb,B1,,,
negotiation,noun,B1,,,
neighbor/neighbour,noun,A1,Family life,,Relations with other people
neighborhood/neighbourhood,noun,B1,Family life,,Relations with other people
neighboring/neighbouring,adjective,B2,,,
neither,adverb,B2,,,
neither,conjunction,B2,,,
neither,determiner,B2,,,
neither,pronoun,B2,,,
nephew,noun,B1,Family life,,Personal identification
nerve,noun,B2,Travel and services vocab,,Health and body care
nerves,noun,B2,,,
nervous,adjective,A2,,,
nervously,adverb,B2,,,
nervousness,noun,B1,,,
ness,noun,B1,,,
net,adjective,A2,,,
net,noun,B1,Objects and rooms,,Shopping
netsurfer/net surfer,noun,B2,Media,,"Free time, entertainment"
network,noun,B1,Media,,
neurosis,noun,B2,Travel and services vocab,,Health and body care
neutral,adjective,B1,,,
never,adverb,A1,,,
nevertheless,adverb,B1,,,
new,adjective,A1,,,
newborn,adjective,B1,,,
newcomer,noun,B1,,,
newly,adverb,B1,,,
news,noun,A1,"News, lifestyles and current affairs",,"Free time, entertainment"
newscaster,noun,B2,Media,,Personal identification
newspaper,noun,A1,Objects and rooms,,"Free time, entertainment"
newsworthy,adjective,B2,,,
next,adverb,A2,,,
next,determiner,A2,,,
next,pronoun,B2,,,
next door,adverb,B1,,,
next to,preposition,A2,,,
next-door,adjective,B1,,,
nice,adjective,A1,,,
nicely,adverb,B2,,,
nickname,noun,B1,Personal information,,Personal identification
niece,noun,B1,Family life,,Personal identification
night,noun,A1,,,
nightclub,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
nightlife,noun,B1,"News, lifestyles and current affairs",,Daily life
nightmare,noun,B2,,,
nine,number,A1,,,
nineteen,number,A1,,,
ninety,number,A1,,,
no,adverb,A1,,,
no,determiner,A1,,,
no one,pronoun,A2,,,
nobility,noun,B2,,,
noble,adjective,B2,,,
nobleman,noun,B2,,,
nobody,pronoun,A2,,,
nod,noun,B1,,,
nod,verb,B2,,,
noise,noun,A1,,,
noisily,adverb,B1,,,
noisy,adjective,A2,,,
nomad,noun,B2,,,
nomination,noun,B2,,,
nominee,noun,B2,,,
none,pronoun,B1,,,
nonetheless,adverb,B1,,,
nonprofessional,adjective,B2,,,
nonsense,noun,B1,,,
non-smoking,adjective,B2,,,
noon,noun,A2,,,
nor,conjunction,B1,,,
normal,adjective,A2,,,
normally,adverb,B1,,,
north,adjective,A2,,,
north,adverb,A2,,,
north,noun,A2,,,
northeast,adjective,B1,,,
northeast,noun,B1,,,
northeastern,adjective,B1,,,
northern,adjective,B1,,,
northward,adverb,B2,,,
northwest,adjective,B1,,,
northwest,noun,B1,,,
northwestern,adjective,B1,,,
nose,noun,A1,,,Health and body care
nostril,noun,B2,,,
not,adverb,A1,,,
note,noun,A1,Objects and rooms,,Shopping
note,verb,A1,,,
notebook,noun,A1,Objects and rooms,,Shopping
nothing,pronoun,A1,,,
notice,noun,A2,,,
notice,verb,B1,,,
noticeable,adjective,B1,,,
noticeboard,noun,B1,,,
notion,noun,B1,,,
notorious,adjective,B1,,,
nought,noun,B2,,,
noun,noun,A2,Education,,Language
nourish,verb,B2,,,
nourishment,noun,B2,Food and drink,,Food and drink
novel,noun,A2,Education,,Education
novelist,noun,B1,Education,,Personal identification
novelty,noun,B2,,,
November,noun,A1,,,
now,adverb,A1,,,
now,conjunction,B2,,,
nowadays,adverb,A2,,,
nowhere,adverb,B1,,,
nuclear,adjective,B1,,,
nucleus,noun,B1,,,
nuisance,noun,B2,,,
number,noun,A1,,,Personal identification
numerical,adjective,B2,,,
numerous,adjective,B1,,,
nurse,noun,A1,Work and Jobs,Travel and services vocab,Personal identification
nurse,verb,B1,,,
nursery,noun,B2,,,
nut,noun,B2,,,Food and drink
nutrient,noun,B1,Food and drink,,Food and drink
nutrition,noun,B1,Food and drink,,Food and drink
